alpha,mean_RE_global,mean_CS_global,mean_RE_translation,mean_RE_rotation,mean_RE_scale
0.6,10.758295956610437,0.8982601605807581,0.17229292224404183,0.3383784211603234,31.764216526426946
0.7,2.192088104794917,0.9118986527659783,0.060600034398439986,0.27430163598186386,6.241362644004446
0.8,0.32135345700775486,0.9520518055891914,0.054882394085209715,0.25436689582715977,0.6548110811108951
0.9,0.13940646380611704,0.9842879307291593,0.049661077906302996,0.22228890752089706,0.14626940599115107
1.0,0.13135552837981118,0.9848150501994821,0.04531857944776023,0.21956906158486658,0.12917894410680675
1.1,0.1384440196227638,0.9836220888576722,0.04439779949638919,0.2265934357322664,0.14434082363963577
1.2,0.14050597446687846,0.9839873199402099,0.04093009150637848,0.22176304587067217,0.15882478602358474
1.3,0.17149333529433747,0.9744069998707634,0.04525842593520472,0.2837949821899108,0.18542659775789688
1.4,0.7994010525791607,0.797854383262481,0.19495443704380286,1.4113789599057929,0.7918697607878862
1.5,3.4220976063070068,0.7130321562478833,0.2193010405709095,4.779035990883596,5.267955787466516
1.6,20.96219194970043,0.6809597161254088,0.21793507820678562,24.834769483200905,37.83387128769358
1.7,127.42950969340177,0.6702398122317386,0.3405562906301836,123.46727406127016,258.480698728305
1.8,824.6055944042666,0.6421633846150654,2.445175736219989,545.4897605310034,1925.881846945576
1.9,5850.756887033896,0.538415200101556,22.97471580273099,1538.4895843673667,15990.806360931592
2.0,27437.786022155673,0.530182122240207,137.49054797680762,968.7290270350079,81207.1384914552
